"props_pageProps_address_buildings_0_bathroomCondition","props_pageProps_address_buildings_0_buildingName","props_pageProps_address_buildings_0_externalWallMaterial","props_pageProps_address_buildings_0_heatingInstallation","props_pageProps_address_buildings_0_housingArea","props_pageProps_address_buildings_0_kitchenCondition","props_pageProps_address_buildings_0_numberOfFloors","props_pageProps_address_buildings_0_numberOfToilets","props_pageProps_address_buildings_0_roofingMaterial","props_pageProps_address_buildings_0_toiletCondition","props_pageProps_address_buildings_0_yearBuilt","props_pageProps_address_municipality_name","props_pageProps_address_coordinates_lat","props_pageProps_address_coordinates_lon","props_pageProps_address_events_0_at","props_pageProps_address_events_0_label","props_pageProps_dataLayer_virtualPagePath","props_pageProps_dataLayer_detailMetaData"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","76.0","Eget køkken med afløb","1.0","1.0","Fibercement herunder asbest","Vandskyllende toilet i enheden","1903.0","Halsnæs","55.97445","12.019075","1903-01-01T00:00:00Z","Byggeår","/adresse/valsevaerksstraede-26-1-th-3300-frederiksvaerk-02601595__26__1__th","value:950000|sqm:76|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.94427","11.887111","2011-10-12T00:00:00Z","Familiehandel","/adresse/kaermindestien-7a-3390-hundested-02600793__7a_______","value:186500|sqm:|lastPrice:158525|sqmPr:undefined|rooms:"
"Badeværelse i enheden","Sommerhus","Træ","Varmepumpe","122.0","Eget køkken med afløb","1.0","1.0","Stråtag","Vandskyllende toilet i enheden","1952.0","Halsnæs","55.999622","11.9256","2015-04-02T07:17:24.91Z","Af markedet","/adresse/stenurtvej-2-3390-hundested-02601403___2_______","value:1600000|sqm:122|lastPrice:2600000|sqmPr:21311|rooms:"
"","","","","","","","","","","","Halsnæs","55.953983","11.87188","","","/adresse/lynaes-soevaenge-21-3390-hundested-02601807__21_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.973057","12.021504","","","/adresse/noerregade-1g-0-3300-frederiksvaerk-02601042__1g_st____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.983734","12.002815","2010-01-05T00:00:00Z","Fri handel","/adresse/industriskellet-19-3300-frederiksvaerk-02600640__19_______","value:1150000|sqm:|lastPrice:575000|sqmPr:undefined|rooms:"
"","","","","","","","","","","","Halsnæs","55.97424","12.017846","","","/adresse/valsevaerksstraede-9-3300-frederiksvaerk-02601595___9_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","Udhus","Mursten","","","","","","Metal","","1950.0","Halsnæs","55.97013","12.021847","2023-03-01T00:00:00Z","Fri handel","/adresse/jernbanegade-7-3300-frederiksvaerk-02600664___7_______","value:2300000|sqm:|lastPrice:5540000|sqmPr:undefined|rooms:"
"","Udhus","Træ","","","","","","Tagpap med stor hældning","","2015.0","Halsnæs","55.942665","11.864949","","","/adresse/lynaes-havnevej-17-3390-hundested-02600881__17_______","value:220000|sqm:|lastPrice:|sqmPr:|rooms:"
"Adgang til badeværelse","Kolonihavehus","Træ","Ovn til fast og flydende brændsel","33.0","Eget køkken med afløb","1.0","1.0","Andet materiale","Vandskyllende toilet i enheden","1969.0","Halsnæs","55.954845","11.87816","2021-02-27T00:00:00Z","Fri handel","/adresse/dvaergbakken-32-3390-hundested-02600247__32_______","value:|sqm:33|lastPrice:699500|sqmPr:21196|rooms:"
"Badeværelse i enheden","Sommerhus","Træ","Varmepumpe","100.0","Eget køkken med afløb","1.0","2.0","Betontagsten","Vandskyllende toilet i enheden","2020.0","Halsnæs","55.945457","11.887045","2020-01-01T00:00:00Z","Byggeår","/adresse/st-karlsmindevej-95-3390-hundested-02601385__95_______","value:365700|sqm:100|lastPrice:530000|sqmPr:5300|rooms:"
"","","","","","","","","","","","Halsnæs","55.94782","11.88371","2018-10-02T15:00:01.42Z","Af markedet","/adresse/engdraget-9-3390-hundested-02600292___9_______","value:549300|sqm:|lastPrice:290500|sqmPr:undefined|rooms:"
"","Fritliggende overdækning","Andet materiale","","","","","","Metal","","2010.0","Halsnæs","55.93037","12.044351","","","/adresse/fuglehalvej-18-0-3310-oelsted-02600372__18_st____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.998302","11.964426","2021-07-03T00:00:00Z","Fri handel","/adresse/kroghoejvej-14-3370-melby-02600776__14_______","value:430000|sqm:|lastPrice:570000|sqmPr:undefined|rooms:"
